date,open,prev_close,close,vix_close,vix_prev,gap_pct,us_pct,fii_net,pcr,sig_gap,sig_us,sig_fii,sig_pcr,morning_score
2025-03-27,23433.95,23486.85,23591.95,13.3,13.47,-0.225,-1.116,,,0,-1,0,0,-1
2025-03-28,23600.4,23591.95,23519.35,12.72,13.3,0.036,-0.331,,,0,0,0,0,0
2025-04-01,23341.1,23519.35,23165.7,13.78,12.72,-0.758,0.554,,,-1,1,0,0,0
2025-04-02,23192.6,23165.7,23332.35,13.72,13.78,0.116,0.378,,,0,0,0,0,0
2025-04-03,23150.3,23332.35,23250.1,13.6,13.72,-0.78,0.673,,,-1,1,0,0,0
2025-04-04,23190.4,23250.1,22904.45,13.76,13.6,-0.257,-4.84,,,0,-1,0,0,-1
2025-04-07,21758.4,22904.45,22161.6,22.79,13.76,-5.004,-5.975,,,-1,-1,0,0,-2
2025-04-08,22446.75,22161.6,22535.85,20.44,22.79,1.287,-0.233,,,1,0,0,0,1
2025-04-09,22460.3,22535.85,22399.15,21.43,20.44,-0.335,-1.57,,,-1,-1,0,0,-2
2025-04-11,22695.4,22399.15,22828.55,20.11,21.43,1.323,-3.461,,,1,-1,0,0,0
2025-04-15,23368.35,22828.55,23328.55,16.13,20.11,2.365,0.794,,,1,1,0,0,2
2025-04-16,23344.1,23328.55,23437.2,15.87,16.13,0.067,-0.173,,,0,0,0,0,0
2025-04-17,23401.85,23437.2,23851.65,15.47,15.87,-0.151,-2.241,,,0,-1,0,0,-1
2025-04-21,23949.15,23851.65,24125.55,15.52,15.47,0.409,0.133,,,1,0,0,0,1
2025-04-22,24185.4,24125.55,24167.25,15.23,15.52,0.248,-2.357,,,0,-1,0,0,-1
2025-04-23,24357.6,24167.25,24328.95,15.96,15.23,0.788,2.512,,,1,1,0,0,2
2025-04-24,24277.9,24328.95,24246.7,16.25,15.96,-0.21,1.666,,,0,1,0,0,1
2025-04-25,24289.0,24246.7,24039.35,17.16,16.25,0.174,2.026,,,0,1,0,0,1
2025-04-28,24070.25,24039.35,24328.5,16.94,17.16,0.129,0.737,,,0,1,0,0,1
2025-04-29,24370.7,24328.5,24335.95,17.37,16.94,0.173,0.064,,,0,0,0,0,0
2025-04-30,24342.05,24335.95,24334.2,18.22,17.37,0.025,0.58,,,0,1,0,0,1
2025-05-02,24311.9,24334.2,24346.7,18.26,18.22,-0.092,0.63,,,0,1,0,0,1
