date,fii_net_cr
2017-03-21,1662.72
2017-03-22,356.64
2017-03-23,1094.44
2017-03-24,543.35
2017-03-27,577.88
2017-03-28,6415.38
2017-03-29,460.98
2017-03-30,67.97
2017-03-31,-295.92
2017-04-03,534.45
2017-04-05,340.13
2017-04-06,142.68
2017-04-07,-262.37
2017-04-10,-716.19
2017-04-11,-750.52
2017-04-12,-580.7
2017-04-13,-407.88
2017-04-17,-250.54
2017-04-18,-930.67
2017-04-19,-673.38
2017-04-20,-168.84
2017-04-21,-978.34
2017-04-24,-279.55
2017-04-25,178.82
2017-04-26,-492.52
2017-04-27,-181.71
2017-04-28,-1150.43
2017-05-02,-611.82
2017-05-03,-517.74
2017-05-04,-601.12
2017-05-05,-363.98
2017-05-08,-542.47
2017-05-09,332.87
2017-05-10,893.36
2017-05-11,1306.71
2017-05-12,841.8
2017-05-15,235.33
2017-05-16,858.29
2017-05-17,-731.39
2017-05-18,-360.59
2017-05-19,-988.7
2017-05-22,-321.27
2017-05-23,-400.53
2017-05-24,81.88
2017-05-25,589.11
2017-05-26,-274.14
2017-05-29,-709.97
2017-05-30,-217.1
2017-05-31,1048.93
2017-06-01,-517.31
2017-06-02,-59.13
2017-06-05,476.64
2017-06-06,61.16
2017-06-07,73.79
2017-06-08,90.78
2017-06-09,-100.99
2017-06-12,-169.25
2017-06-13,-312.4
2017-06-14,-161.13
2017-06-15,-645.35
2017-06-16,-764.48
2017-06-19,-250.39
2017-06-20,-312.84
2017-06-21,-152.82
2017-06-22,192.68
2017-06-23,269.95
2017-06-27,292.11
2017-06-28,-469.09
2017-06-29,-1140.77
2017-06-30,-160.48
2017-07-03,-804.67
2017-07-04,-834.36
2017-07-05,227.57
2017-07-06,-15.29
2017-07-07,-522.08
2017-07-10,102.27
2017-07-11,182.05
2017-07-12,361.25
2017-07-13,-59.15
2017-07-14,673.56
2017-07-17,328.61
2017-07-18,317.44
2017-07-19,1046.65
2017-07-20,154.91
2017-07-21,12.9
2017-07-24,-366.84
2017-07-25,270.77
2017-07-26,-60.6
2017-07-27,1869.92
2017-07-28,-223.12
2017-07-31,-1196.94
