date,open,prev_close,close,vix_close,vix_prev,morning_score
2021-07-29,15762.7,15709.4,15778.45,12.95,13.69,0
2021-07-30,15800.6,15778.45,15763.05,12.8,12.95,0
2021-08-02,15874.9,15763.05,15885.15,12.81,12.8,-1
2021-08-03,15951.55,15885.15,16130.75,13.75,12.81,0
2021-08-04,16195.25,16130.75,16258.8,13.21,13.75,3
2021-08-05,16288.95,16258.8,16294.6,12.87,13.21,1
2021-08-06,16304.4,16294.6,16238.2,12.61,12.87,1
2021-08-09,16281.35,16238.2,16258.25,12.61,12.61,0
2021-08-10,16274.8,16258.25,16280.1,12.71,12.61,0
2021-08-11,16327.3,16280.1,16282.25,12.71,12.71,0
2021-08-12,16303.65,16282.25,16364.4,12.37,12.71,0
2021-08-13,16385.7,16364.4,16529.1,12.99,12.37,0
2021-08-16,16518.4,16529.1,16563.05,13.46,12.99,0
2021-08-17,16545.25,16563.05,16614.6,13.41,13.46,-1
2021-08-18,16691.95,16614.6,16568.85,12.91,13.41,0
2021-08-20,16382.5,16568.85,16450.5,14.02,12.91,-1
2021-08-23,16592.25,16450.5,16496.45,13.69,14.02,1
2021-08-24,16561.4,16496.45,16624.6,13.19,13.69,1
2021-08-25,16654.0,16624.6,16634.65,13.5,13.19,-1
2021-08-26,16627.95,16634.65,16636.9,13.54,13.5,-1
2021-08-27,16642.55,16636.9,16705.2,13.41,13.54,-2
2021-08-30,16775.85,16705.2,16931.05,13.32,13.41,2
2021-08-31,16947.5,16931.05,17132.2,14.52,13.32,1
2021-09-01,17185.6,17132.2,17076.25,14.19,14.52,2
2021-09-02,17095.4,17076.25,17234.15,14.24,14.19,0
2021-09-03,17262.45,17234.15,17323.6,14.54,14.24,0
2021-09-06,17399.35,17323.6,17377.8,15.11,14.54,1
2021-09-07,17401.55,17377.8,17362.1,14.9,15.11,0
2021-09-08,17375.75,17362.1,17353.5,14.41,14.9,0
2021-09-09,17312.85,17353.5,17369.25,13.94,14.41,0
2021-09-13,17363.55,17369.25,17355.3,14.03,13.94,-1
2021-09-14,17420.35,17355.3,17380.0,13.58,14.03,2
2021-09-15,17387.65,17380.0,17519.45,13.73,13.58,0
2021-09-16,17539.2,17519.45,17629.5,14.41,13.73,1
2021-09-17,17709.65,17629.5,17585.15,15.23,14.41,2
2021-09-20,17443.85,17585.15,17396.9,17.49,15.23,-1
2021-09-21,17450.5,17396.9,17562.0,16.52,17.49,0
2021-09-22,17580.9,17562.0,17546.65,16.49,16.52,1
2021-09-23,17670.85,17546.65,17822.95,16.6,16.49,1
2021-09-24,17897.45,17822.95,17853.2,16.92,16.6,2
2021-09-27,17932.2,17853.2,17855.1,18.05,16.92,1
2021-09-28,17906.45,17855.1,17748.6,18.54,18.05,0
2021-09-29,17657.95,17748.6,17711.3,18.84,18.54,-3
2021-09-30,17718.9,17711.3,17618.15,18.4,18.84,-1
2021-10-01,17531.9,17618.15,17532.05,17.21,18.4,-3
2021-10-04,17615.55,17532.05,17691.25,16.74,17.21,2
2021-10-05,17661.35,17691.25,17822.3,16.4,16.74,-1
2021-10-06,17861.5,17822.3,17646.0,17.33,16.4,0
2021-10-07,17810.55,17646.0,17790.35,16.16,17.33,1
2021-10-08,17886.85,17790.35,17895.2,15.65,16.16,1
2021-10-11,17867.55,17895.2,17945.95,16.09,15.65,0
2021-10-12,17915.8,17945.95,17991.95,15.85,16.09,-2
2021-10-13,18097.85,17991.95,18161.75,16.1,15.85,1
2021-10-14,18272.85,18161.75,18338.55,15.77,16.1,1
2021-10-18,18500.1,18338.55,18477.05,17.18,15.77,3
2021-10-19,18602.35,18477.05,18418.75,17.38,17.18,1
2021-10-20,18439.9,18418.75,18266.6,18.31,17.38,1
2021-10-21,18382.7,18266.6,18178.1,18.04,18.31,0
2021-10-22,18230.7,18178.1,18114.9,17.55,18.04,-1
2021-10-25,18229.5,18114.9,18125.4,17.61,17.55,0
2021-10-26,18154.5,18125.4,18268.4,16.75,17.61,-1
2021-10-27,18295.85,18268.4,18210.95,16.83,16.75,-1
2021-10-28,18187.65,18210.95,17857.25,17.91,16.83,-2
2021-10-29,17833.05,17857.25,17671.65,17.43,17.91,0
2021-11-01,17783.15,17671.65,17929.65,17.24,17.43,0
2021-11-02,17970.9,17929.65,17888.95,17.06,17.24,0
2021-11-03,17947.95,17888.95,17829.2,16.13,17.06,1
2021-11-04,17935.05,17829.2,17916.8,15.75,16.13,2
2021-11-08,18040.2,17916.8,18068.55,16.34,15.75,1
2021-11-09,18084.35,18068.55,18044.25,16.0,16.34,0
2021-11-10,17973.45,18044.25,18017.2,16.31,16.0,-2
2021-11-11,17967.45,18017.2,17873.6,16.35,16.31,-1
2021-11-12,17977.6,17873.6,18102.75,15.22,16.35,0
2021-11-15,18140.95,18102.75,18109.45,15.47,15.22,1
2021-11-16,18127.05,18109.45,17999.2,15.2,15.47,0
2021-11-17,17939.35,17999.2,17898.65,14.98,15.2,-1
2021-11-18,17890.55,17898.65,17764.8,14.86,14.98,0
2021-11-22,17796.25,17764.8,17416.55,17.52,14.86,-1
2021-11-23,17281.75,17416.55,17503.35,18.02,17.52,-2
2021-11-24,17550.05,17503.35,17415.05,17.1,18.02,-1
2021-11-25,17417.3,17415.05,17536.25,16.66,17.1,-1
2021-11-26,17338.75,17536.25,17026.45,20.8,16.66,-2
2021-11-29,17055.8,17026.45,17053.95,20.83,20.8,-2
2021-11-30,17051.15,17053.95,16983.2,21.17,20.83,0
2021-12-01,17104.4,16983.2,17166.9,19.45,21.17,-1
2021-12-02,17183.2,17166.9,17401.65,18.09,19.45,-2
2021-12-03,17424.9,17401.65,17196.7,18.45,18.09,1
2021-12-06,17209.05,17196.7,16912.25,20.08,18.45,-2
2021-12-07,17044.1,16912.25,17176.7,18.46,20.08,1
2021-12-08,17315.25,17176.7,17469.75,17.27,18.46,1
2021-12-09,17524.4,17469.75,17516.85,16.6,17.27,1
2021-12-10,17476.05,17516.85,17511.3,16.06,16.6,-2
2021-12-13,17619.1,17511.3,17368.25,16.57,16.06,1
2021-12-14,17283.2,17368.25,17324.9,16.95,16.57,-3
2021-12-15,17323.65,17324.9,17221.4,17.22,16.95,-1
